"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-ME  7610,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,CEE,6930,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3868,0,,,
P-ME  7620,201610,11/10/2015,Y,1,Y,N,N,N,Y,A10,100,,CEE,6350,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2992,0,,,
P-ME  7620,201610,11/10/2015,Y,2,Y,N,N,N,Y,A10,200,,ME,6350,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2993,0,,,
P-ME  7640,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,CEE,6930,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3870,0,,,
P-ME  7640,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,6360,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3871,0,,,
P-ME  7650,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,CEE,6930,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3872,0,,,
P-ME  7650,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,6360,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3873,0,,,
P-ME  7660,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,6930,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3874,0,,,
P-ME  7670,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,6930,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3875,0,,,
P-ME  7680,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,CEE,6930,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3876,0,,,
P-ME  7710,200880,11/06/2008,Y,1,Y,N,N,N,Y,,,,ME,6710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3944,0,,,
P-ME  7720,200880,11/06/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3945,0,,,
P-ME  7720,200880,11/06/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,6730,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3946,0,,,
P-ME  7810,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,6810,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3877,0,,,
P-ME  7930,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6430,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3878,0,,,
P-ME  7930,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,6440,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3879,0,,,
P-ME  7930,200880,10/29/2008,Y,3,Y,N,N,N,Y,A10,300,,ME,6370,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3880,0,,,
